Initials,Team Number,Match Number,Robot Position,Starting Location,No Show,Taxied,Auto Upper Hub Scored,Auto Upper Hub Missed,Auto Lower Hub Scored,Upper Hub Scored,Lower Hub Scored,Was Defended,Climb,Robot Disabled?,Comments
Cm,9999,11,Red 3,Right,FALSE,TRUE,0,0,1,0,3,FALSE,Failed,FALSE,
IB,900,11,Red 2,Left,FALSE,TRUE,1,1,0,2,-1,FALSE,Failed,FALSE,They missed most of their shots. The reason lower hub is negative is because they shot some blue cargo into it.
EF,401,11,Red 1,Right,FALSE,TRUE,1,1,1,1,1,FALSE,Medium,FALSE,Not very accurate on teleop stage. 
ZO,836,12,Blue 1,Right,FALSE,TRUE,0,0,0,9,0,FALSE,NA,TRUE,lost power 
Cm,1908,12,Red 3,Right,FALSE,FALSE,1,1,0,11,0,FALSE,Low,FALSE,
IB,122,12,Red 2,Middle,FALSE,TRUE,1,2,0,3,0,FALSE,Medium,FALSE,"Lots of defending, not a ton of scoring."
PV,6194,12,Blue 3,Left,FALSE,TRUE,0,0,0,2,0,TRUE,NA,FALSE,Defended by 122
GH,1599,12,Blue 2,Middle,FALSE,TRUE,0,1,0,3,0,FALSE,Medium,FALSE,
EF,3136,12,Red 1,Left,FALSE,TRUE,1,1,0,8,0,FALSE,Medium,FALSE,"A little slow, but accurate with the few shots it took. Intake looks flimsy but works well, looked smooth on the climb but an interesting way of doing so."
IB,619,13,Red 2,Left,FALSE,TRUE,1,1,0,6,0,FALSE,Medium,FALSE,619 seems to be slower but (somewhat) more precise.
PV,977,13,Blue 3,Right,FALSE,TRUE,0,0,0,3,0,FALSE,Failed,FALSE,
ZO,5804,13,Blue 1,Middle,FALSE,FALSE,1,1,0,0,1,FALSE,Medium,FALSE,
GH,3737,13,Blue 2,Left,FALSE,FALSE,0,0,1,0,6,FALSE,Traversal,FALSE,
Cm,1793,13,Red 3,Right,FALSE,FALSE,0,0,1,0,0,FALSE,Low,FALSE,
EF,401,13,Red 1,Middle,FALSE,TRUE,3,0,0,8,0,FALSE,Medium,FALSE,Didn’t complete full auto commands. Failed to do full climb.
ZO,384,14,Blue 1,Right,FALSE,TRUE,3,0,0,6,0,FALSE,Medium,FALSE,
Cm,2028,14,Red 3,Middle,FALSE,TRUE,1,0,0,0,0,FALSE,Medium,FALSE,
GH,4561,14,Blue 2,Middle,FALSE,FALSE,0,0,0,10,0,FALSE,NA,FALSE,
PV,339,14,Blue 3,Left,FALSE,FALSE,0,0,0,0,0,TRUE,NA,FALSE,DID NOT SHOOT OR TAXI
IB,422,14,Red 2,Right,FALSE,TRUE,3,0,0,9,0,TRUE,Traversal,FALSE,"As expected, a wonderful show from the Mech Tech Copperheads"
EF,1610,14,Red 1,Left,FALSE,TRUE,1,1,0,0,10,FALSE,Failed,FALSE,Was fast but wobbly at quick stops. Climbing attempt had issues with the arms raising and giving themselves enough time to attempt the climb.
PC,2363,15,Blue 3,Right,FALSE,TRUE,4,0,0,2,0,TRUE,Failed,FALSE,
ZO,8590,15,Blue 1,Middle,FALSE,FALSE,1,0,0,0,0,FALSE,NA,TRUE,bad
GH,346,15,Blue 2,Left,FALSE,TRUE,2,0,0,2,0,FALSE,Medium,FALSE,
IB,9991,15,Red 2,Right,FALSE,TRUE,3,0,0,1,0,FALSE,Failed,FALSE,Most definitely a defense bot
Cm,2642,15,Red 3,Left,FALSE,FALSE,1,1,0,6,0,FALSE,Medium,FALSE,Fell off traverse styled out to medium
EF,2890,15,Red 1,Middle,FALSE,TRUE,0,1,0,5,0,FALSE,Medium,FALSE,Climbed quickly but everything else was slow. Took a while to shoot to the upper hub with about 70% accuracy. However was a large slow moving bot that could still get knocked around. Very slow on turns.
TR,122,16,Red 1,Middle,FALSE,TRUE,3,0,0,0,0,FALSE,NA,TRUE,Robot lost connection and shooter may be broken
PC,3737,16,Blue 1,Middle,FALSE,TRUE,0,0,0,0,8,FALSE,Traversal,FALSE,Swerve
GC,6194,16,Red 2,Left,FALSE,TRUE,0,1,0,0,1,FALSE,NA,FALSE,Bad aim
Cm,1086,16,Red 3,Right,FALSE,TRUE,2,0,0,3,1,TRUE,NA,FALSE,Thier experienced driver knows how to farm points
